,comments
265,This is soooooo good vibes️
266,Always gotta listen to the old music sometimes
267,I love Bruno
268,Listening to this song helps me remember and reminisce about the times before the whole World went to shit. 
269,9 year still love this song<3
270,I remember one time that I was listening to a radio and the man said he’ll play any song you want and in my head I said “ bet they won’t play uptown funk” The next thing I knew they were playing that song in two seconds 
271,This song is always in my top favorite song
272,Clasico de clasicos √ quien cree lo mismo
273,"this video that is a mashup of Meghan Trainor’s All About That Bass and Mark Ronson and Bruno Mars’ Uptown Funk. This mashup is very fun and creative, because it blends two songs of different styles together, creating a new rhythm and vibe. The mashup has good sound quality, without obvious cuts or distortions. The mashup also has attractive visual effects, because it matches the scenes and movements of the two videos, forming a sense of harmony and coordination. This mashup is a successful creation, worth appreciating and sharing."
274,such a great song
275, adoro
276,Hes like the modern version of michael jackson
277,"We don't search for old songs...
We search for old memories..."
278,I love this song every time i hear this song i sing
279,"Dezembro De 2023, E Eu Aqui, Pela Não Sei Lá Quantas Vezes ️."
280,"This track is just fire! Don't believe me, just watch!;)"
281,Its been almost 10 yrs and i miss old generation. I wanna go back see the real world.
282,Me who remembers every word after not listening to it for over a year
283,Top hits from Bruno Mars himself #BrunoMars #UptownFunk #24K
284,Una joyita 
285,2023 escuchandola
286,EU  AMO
287,Yes eyeeeeeee classic right here ️
288,Bruno Mars...new Michael Jackson <3
289,Ten years later I am still listening to this masterpiece 
290,Deserves it all.....
291,"I need more bruno mars songs , its kind of addiction"
292,"Я обожаю, эту песню"
293,Best Song ever NO DOUBT ABOUT IT
294,"when this song came out, everything was so innocent."
295,Let me tell ya when you haven't listen to any of these songs your missing out this is fire
296,"Great, great song¡!!!!"
297,Esto es oro
298,There's no way this song is almost a decade old. There's NO WAY
299,
300,"The people saying this is a Michael Jackson influenced video/song have apparently never seen Michael Jackson. He didn't do this kind of music or dance, really. Prince did. Morris Day did. James Brown did. Otis Redding did. Rick James did. The Temptations did. Mike was a different style than this"
301,Es una canción muy buena 
302,Great song and a fun video !
303,Temazo
304,I love this song
305,I love it !!!!!! ️️🇺🇲
306,"Mark Ronson: I can't believe you're taking the spotlight in MY song!
Bruno Mars: Don't believe me just watch!"
307,People love this song so much that to this day its still relevant (im apart of those people) 
308,this song was formed in 2014. I love 2014. I was born then I existed when that song was filmed. I'll still a baby
309,Эта песня заслуживает каждого отдельного просмотра из пяти миллиардов
310,2023 arrasando con este tema 
311,"This will be the classical music of today, 21st century, 500 years from now"
312,He's not the second Michael Jackson but he's the first Bruno Mars
313,Timeless .
314,La mejor cancionnnn la escucho todos los dias
315,I was 13 years old when I had heard this song for the first time!2015
316,"Ah, the good ol' days"
317,amo a bruno mars
318,"This hit ,That ice cold 
Michelle Pfeiffer
That white gold"
319,Bruno has got one awsome voice
320,Hard to believe that this song is 9 years old already 
321,Yes it reminds me of  Michael Jackson 
322,It's so cachy and impossible not to dance
323,
324,I’ve went my whole life thinking that Bruno Mars made this song.
325,"This is January 2024 and FUNK TOWN continues its magical, momentous, magnificent, mesmerising, memorable, marvellous,  and melodious march towards 6 Billion views shortly. "
326,This music video is officially 9 years old 
327,Yo lo baile en mi clases de natacion
328,What a great way to start the new year!
329,Amazing bro 
330,"When you collaborate with Bruno, the song is no longer yours."
331,"It's been forever since I last heart this song and it just popped up on my yt fyp 
Fuckin nostalgic straight vibes"
332,Its been years AND I STILL AM IN LOVE WITH THIS PHILLIPINO!!!!!
333,i love uptown funk BRUNO MARS im from brasil and you make me happy I LOVE YOU SO MUUUUUUUUUUUCHHHHHHHH
334,ouvia isso quando eu tinha 8-9 com minha família ouvindo nostalgia  2014 2013 anos de mt gosto parece q foi lançado ontem essa relíquia
335,Presa nesse clipe e nessa música! Bruninho...
336,"Producer:Do you need autotune?
Bruno:No
Producer: Really
Bruno:Don't believe me just watch"
337,"14 de novembro, 5 dias antes da música completar 9 anos. Estou aqui ️"
338,4:17. This guy gives off such a good vibe throughout the entire video haha he must be an incredible person.
339,Esta canción esta re sonic2
340,No continente asiático o pessoal e muito posturado e calmo  a torner Bed  foi o maior desafio de Michael Jackson que ele enfrentou e venceu
341,I love your videos and music
342,to all you kids out there its Mark Ronson ft. Bruno Mars bc he is the producer and he basically made this entire song and pulled Bruno into it. producers don't nearly get the credit they deserve. 
343,Ele gosta muito do estilo jovem guarda né?
344,カッコいい
345,
346,I'm  getting addicted to this song these days
347,2024 and this song still slaps.
348,"When he said “I’m gonna kiss myself I’m so pretty”

I felt that."
349,I’m just here because the song is stuck in my head  hope everyone is having a great day if not listen to the song again it slaps . No matter what year you listen I hope you enjoy the song
350,That bassline is a banger
351,Still HOT even in 2024 
352,This song was literally ruling the world for a long time.
353,Great music
